Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-04-22,877.1,886.9,870.3,877.5,874.85,1475886.0,12944.57
2014-04-23,872.0,882.5,862.1,880.0,879.55,4983550.0,43629.76
2014-04-25,885.0,897.0,883.5,893.25,894.1,5096356.0,45443.55
2014-04-28,887.3,892.95,880.0,885.85,884.35,2581562.0,22842.49
2014-04-29,881.15,893.4,877.0,887.0,887.4,1794252.0,15864.18
2014-04-30,889.95,903.5,888.45,900.0,897.95,2754178.0,24737.21
2014-05-02,897.9,914.75,897.0,910.95,910.95,3080739.0,28016.83
2014-05-05,910.0,912.15,883.15,886.9,886.45,2261063.0,20258.86
2014-05-06,892.0,895.2,873.9,876.45,877.55,2190690.0,19293.1
2014-05-07,881.0,882.9,850.1,852.3,852.6,3008306.0,25919.91
2014-05-08,858.95,859.0,840.55,850.35,850.45,3293099.0,28003.82
2014-05-09,854.0,888.0,851.3,886.0,884.6,1817788.0,15944.59
2014-05-12,882.35,912.9,882.35,892.0,895.55,3127891.0,28175.51
2014-05-13,906.0,915.0,899.2,906.0,906.35,3641613.0,33124.77
2014-05-14,910.0,915.0,883.55,889.0,888.85,3586483.0,32080.4
2014-05-15,886.0,908.25,875.35,899.85,903.15,3532044.0,31399.16
2014-05-16,920.0,956.45,877.0,888.0,885.8,10749759.0,99234.67
2014-05-19,900.25,931.5,900.25,910.2,916.95,6677460.0,61227.56
2014-05-20,921.5,944.4,914.65,940.0,940.6,5681528.0,53102.91
2014-05-21,940.0,946.0,933.0,941.0,940.75,3680783.0,34606.7
2014-05-22,941.0,944.6,918.0,920.3,920.15,3194236.0,29629.09
2014-05-23,926.0,938.75,918.45,934.5,931.95,3675254.0,34173.0
2014-05-26,929.3,944.4,914.05,931.0,927.75,5260500.0,49212.19
2014-05-27,934.0,934.0,908.0,911.0,910.25,4937760.0,45338.72
2014-05-28,912.0,918.0,892.0,900.25,902.05,4571686.0,41345.62
2014-05-29,900.1,914.9,891.0,895.0,896.9,4963006.0,44715.5
2014-05-30,899.0,899.0,810.0,878.55,876.8,7232450.0,63400.15
2014-06-02,875.0,905.5,871.0,893.55,896.35,1865891.0,16739.72
2014-06-03,898.0,918.3,895.0,911.55,912.75,3408485.0,30933.31
2014-06-04,918.0,924.5,899.2,900.05,901.55,3371889.0,30687.44
2014-06-05,900.0,918.6,891.0,910.05,908.75,5395580.0,48801.42
2014-06-06,912.9,938.7,907.0,932.0,935.15,4653867.0,42953.94
2014-06-09,940.0,947.7,934.35,942.1,944.95,3580516.0,33744.45
2014-06-10,940.35,962.0,930.4,955.4,954.45,4912736.0,46533.21
2014-06-11,951.35,959.95,931.9,952.35,956.9,5079938.0,48115.62
2014-06-12,952.0,985.0,951.2,978.0,982.05,4444543.0,43253.81
2014-06-13,980.0,984.7,972.35,978.0,979.7,3800033.0,37188.02
2014-06-16,975.0,983.55,956.0,960.0,961.65,4451944.0,43091.7
2014-06-17,957.25,971.95,941.25,968.0,965.6,3822167.0,36317.31
2014-06-18,965.0,972.0,952.1,958.55,958.45,3381229.0,32494.85
2014-06-19,959.55,971.0,955.5,966.0,968.45,2781318.0,26802.81
2014-06-20,969.85,977.4,964.5,969.0,969.05,2451177.0,23774.43
2014-06-23,974.4,978.2,960.55,972.4,971.0,2587975.0,25007.74
2014-06-24,972.7,1000.0,972.0,994.25,996.1,3436833.0,34035.37
2014-06-25,998.9,1003.4,989.25,994.65,995.45,3759548.0,37548.97
2014-06-26,1000.0,1002.45,970.45,976.0,976.85,4804273.0,47067.17
2014-06-27,980.0,998.9,971.25,976.0,976.1,3307009.0,32358.62
2014-06-30,983.7,999.0,975.2,987.0,992.55,3290425.0,32478.6
2014-07-01,990.25,998.5,980.0,986.0,984.1,1511271.0,14916.99
2014-07-02,991.05,1011.35,989.0,1003.0,1007.8,1927692.0,19281.73
2014-07-03,1007.8,1017.15,1002.0,1006.8,1008.15,1757141.0,17724.45
2014-07-04,999.7,1016.65,994.1,1012.2,1013.1,1370680.0,13746.28
2014-07-07,1013.0,1024.4,1003.3,1019.45,1020.6,2756178.0,28027.49
2014-07-08,1017.2,1046.5,1016.6,1018.05,1022.2,3414343.0,35240.38
2014-07-09,1020.0,1030.6,1006.0,1013.0,1015.4,2427544.0,24720.17
2014-07-10,1013.0,1044.7,1002.7,1013.85,1022.85,2460496.0,25279.35
2014-07-11,1015.0,1018.0,981.0,989.0,989.65,2177647.0,21663.41
2014-07-14,988.2,1011.95,980.1,983.0,983.8,2076833.0,20671.48
2014-07-15,987.1,992.2,968.9,974.9,977.55,1496337.0,14647.82
2014-07-16,983.0,984.8,946.05,976.4,976.0,5803707.0,55917.81
2014-07-17,974.0,985.2,968.65,975.35,972.35,1224610.0,11963.79
2014-07-18,972.8,987.95,967.7,982.0,983.0,1728285.0,16935.41
2014-07-21,986.0,1015.7,986.0,1004.75,1010.3,2967232.0,29793.61
2014-07-22,1018.5,1044.7,1007.65,1039.2,1041.05,2794266.0,28831.02
2014-07-23,1040.0,1045.85,1030.05,1035.0,1037.05,2286827.0,23744.01
2014-07-24,1033.9,1040.25,1023.5,1036.5,1036.25,2219821.0,22921.31
2014-07-25,1045.0,1079.7,1040.0,1062.05,1067.75,4052214.0,42826.85
2014-07-28,1065.1,1073.85,1046.7,1061.2,1066.5,1735137.0,18347.2
2014-07-30,1066.15,1092.3,1055.55,1089.1,1087.55,3614271.0,38627.14
2014-07-31,1083.1,1085.0,1061.6,1064.9,1068.4,3912617.0,42026.84
2014-08-01,1059.0,1059.0,1035.2,1037.6,1039.65,3191220.0,33378.97
2014-08-04,1040.15,1048.2,1016.15,1030.2,1027.2,3447488.0,35298.62
2014-08-05,1027.2,1054.7,1010.0,1043.6,1045.45,2507633.0,25731.55
2014-08-06,1043.0,1061.0,1030.4,1032.9,1035.35,2547257.0,26599.12
2014-08-07,1025.0,1041.7,1020.7,1028.0,1026.85,1772201.0,18267.45
2014-08-08,1018.9,1029.8,1016.6,1026.5,1026.95,1463169.0,14975.42
2014-08-11,1032.25,1069.9,1030.15,1065.2,1063.2,2698375.0,28265.71
2014-08-12,1077.7,1121.9,1067.35,1119.6,1116.4,3812260.0,41786.04
2014-08-13,1121.0,1149.0,1106.5,1142.75,1144.1,6426655.0,72308.07
2014-08-14,1151.4,1151.4,1111.5,1123.95,1124.3,3955619.0,44377.77
2014-08-18,1119.9,1125.55,1107.55,1112.0,1112.55,1827672.0,20374.89
2014-08-19,1117.0,1124.0,1082.4,1084.85,1085.05,3108921.0,33944.59
2014-08-20,1094.0,1094.0,1064.55,1074.0,1072.4,2958191.0,31783.72
2014-08-21,1078.0,1080.0,1060.65,1063.15,1064.4,3515263.0,37511.69
2014-08-22,1065.1,1076.5,1042.15,1045.0,1044.6,3614598.0,38015.32
2014-08-25,1046.0,1064.4,1045.8,1054.6,1056.3,1443151.0,15282.98
2014-08-26,1056.0,1069.8,1054.0,1059.4,1061.95,2604117.0,27653.83
2014-08-27,1061.5,1075.7,1057.4,1068.2,1069.65,3233230.0,34512.58
2014-08-28,1068.5,1079.9,1063.9,1072.0,1074.5,3638090.0,39092.02
2014-09-01,1084.1,1084.1,1057.0,1059.25,1058.7,2199257.0,23511.87
2014-09-02,1059.0,1080.0,1059.0,1070.0,1066.25,2506164.0,26844.6
2014-09-03,1069.85,1074.85,1057.1,1061.0,1062.7,2505310.0,26710.71
2014-09-04,1066.0,1081.7,1057.7,1079.5,1080.2,2384438.0,25599.97
2014-09-05,1080.05,1081.4,1049.5,1057.65,1055.05,3252019.0,34446.93
2014-09-08,1064.7,1065.9,1046.6,1054.95,1051.65,2229615.0,23546.27
2014-09-09,1054.9,1057.35,1045.1,1048.5,1050.25,1725098.0,18122.35
2014-09-10,1050.0,1053.25,1032.2,1035.5,1035.05,2182023.0,22696.93
2014-09-11,1045.45,1049.75,1032.55,1039.0,1037.85,3049405.0,31796.97
2014-09-12,1041.0,1054.8,1038.45,1053.0,1050.3,1810713.0,18942.09
2014-09-15,1050.0,1050.0,1026.7,1033.9,1034.1,1814730.0,18769.2
2014-09-16,1026.5,1040.7,1012.75,1016.5,1017.8,2644331.0,27149.3
2014-09-17,1019.0,1033.8,1013.0,1018.4,1018.4,2922108.0,29873.17
2014-09-18,1012.15,1056.0,1010.65,1054.0,1053.05,3341891.0,34755.87
2014-09-19,1053.8,1074.0,1048.65,1058.1,1066.25,5966478.0,63322.7
2014-09-22,1056.5,1083.05,1054.8,1076.95,1079.15,1599003.0,17083.1
2014-09-23,1076.85,1084.0,1060.0,1061.8,1066.15,2035289.0,21735.0
2014-09-24,1064.3,1066.25,1041.55,1054.0,1054.7,2800306.0,29535.93
2014-09-25,1052.5,1067.25,1046.7,1060.0,1056.7,3556326.0,37460.61
2014-09-26,1046.6,1057.7,1023.25,1039.0,1038.2,3125255.0,32426.07
2014-09-29,1038.2,1046.5,1025.0,1035.0,1031.15,1210491.0,12516.3
2014-09-30,1031.15,1062.9,1030.2,1053.5,1055.25,2920034.0,30715.88
2014-10-01,1050.0,1058.0,1040.0,1048.05,1050.35,1439615.0,15102.47
2014-10-07,1045.0,1047.0,1015.15,1017.85,1017.8,2317225.0,23730.47
2014-10-08,1016.1,1025.65,1006.85,1012.5,1014.65,1956573.0,19890.55
2014-10-09,1025.0,1045.15,1020.0,1038.0,1042.65,1252118.0,12998.66
2014-10-10,1035.0,1040.65,1003.35,1007.0,1006.4,1344101.0,13621.8
2014-10-13,1002.0,1023.7,996.95,1019.0,1017.8,1076136.0,10877.73
2014-10-14,1023.2,1026.2,1000.1,1004.45,1004.05,2043358.0,20546.58
2014-10-16,1000.95,1008.8,975.0,977.3,981.3,3547187.0,35288.37
2014-10-17,983.0,1006.1,978.35,997.0,997.15,2915892.0,28969.93
2014-10-20,1011.0,1034.0,1007.6,1020.1,1020.1,2152613.0,22001.64
2014-10-21,1022.85,1026.7,1006.75,1022.0,1021.0,2074203.0,21093.57
2014-10-22,1027.9,1035.15,1017.3,1031.0,1030.75,2441333.0,25020.58
2014-10-23,1034.9,1035.35,1027.25,1034.0,1031.55,108476.0,1118.78
2014-10-27,1040.0,1066.4,1032.6,1038.5,1036.75,2511008.0,26278.74
2014-10-28,1040.0,1054.05,1039.4,1050.1,1049.65,2465451.0,25860.36
2014-10-29,1053.5,1057.05,1037.95,1047.6,1048.6,1995790.0,20906.88
2014-10-30,1045.0,1069.85,1044.25,1060.0,1064.7,2837530.0,30082.62
2014-10-31,1066.8,1110.0,1066.0,1101.6,1105.9,3223522.0,35371.66
2014-11-03,1108.2,1125.0,1096.5,1120.0,1120.5,2021290.0,22427.96
2014-11-05,1125.75,1126.9,1093.1,1094.0,1100.55,3718975.0,41294.83
2014-11-07,1101.0,1106.3,1086.6,1104.0,1099.75,1961000.0,21518.89
2014-11-10,1095.25,1117.0,1095.2,1114.1,1113.7,1363710.0,15094.04
2014-11-11,1111.95,1133.6,1110.5,1127.0,1127.55,2754901.0,30892.76
2014-11-12,1130.0,1149.5,1128.0,1135.0,1142.7,1804098.0,20576.66
2014-11-13,1145.0,1145.75,1120.7,1125.6,1129.05,1391689.0,15729.48
2014-11-14,1134.4,1134.4,1103.95,1125.0,1126.85,1276274.0,14292.36
2014-11-17,1129.9,1138.2,1100.1,1129.7,1129.9,2004892.0,22353.77
2014-11-18,1134.0,1134.0,1101.0,1105.25,1105.65,2103196.0,23335.15
2014-11-19,1106.0,1123.4,1101.25,1115.6,1117.2,2176314.0,24188.31
2014-11-20,1115.6,1127.85,1103.7,1125.0,1122.35,1535144.0,17106.13
2014-11-21,1121.05,1139.4,1119.8,1130.1,1134.4,1627570.0,18386.0
2014-11-24,1131.0,1146.0,1118.65,1133.35,1136.7,2473098.0,28003.62
2014-11-25,1132.3,1156.7,1126.4,1149.0,1146.45,3807448.0,43676.38
2014-11-26,1151.4,1162.8,1126.4,1158.0,1158.45,2217395.0,25473.69
2014-11-27,1152.5,1164.15,1142.0,1152.9,1152.6,2374923.0,27341.13
2014-11-28,1155.0,1177.8,1153.9,1156.0,1160.65,2580558.0,30051.34
2014-12-01,1161.1,1166.1,1134.35,1135.8,1137.55,2604026.0,29855.78
2014-12-02,1136.1,1137.5,1111.7,1121.0,1125.1,1735746.0,19526.68
2014-12-03,1122.5,1130.95,1099.5,1104.7,1104.6,2620306.0,29058.87
2014-12-04,1110.0,1116.65,1090.0,1113.0,1113.0,2063649.0,22723.25
2014-12-05,1120.0,1122.65,1109.7,1114.9,1114.85,1693044.0,18878.15
2014-12-08,1120.0,1128.8,1104.35,1106.0,1107.6,1440243.0,16070.9
2014-12-09,1108.0,1119.45,1082.6,1100.0,1103.2,2008922.0,22217.62
2014-12-10,1109.25,1112.35,1085.3,1100.0,1100.05,2357400.0,25960.64
2014-12-11,1102.0,1109.85,1087.6,1091.5,1092.6,2835509.0,31197.53
2014-12-12,1088.25,1102.25,1061.75,1075.9,1069.5,1987564.0,21477.29
2014-12-15,1061.0,1129.9,1060.1,1125.75,1124.3,2542994.0,28259.38
2014-12-16,1125.7,1125.7,1082.85,1090.6,1086.85,2712191.0,29690.12
2014-12-17,1088.0,1106.3,1080.0,1082.45,1088.95,2799779.0,30671.19
2014-12-18,1102.5,1104.4,1076.0,1094.0,1098.2,2026732.0,22119.69
2014-12-19,1108.75,1120.0,1100.0,1109.65,1114.95,2933314.0,32684.49
2014-12-22,1120.0,1150.6,1112.7,1145.9,1146.3,1917158.0,21712.11
2014-12-23,1150.0,1165.9,1120.8,1124.1,1124.35,2425339.0,27687.22
2014-12-24,1127.0,1133.5,1092.2,1101.0,1099.85,4491004.0,49601.3
2014-12-26,1108.8,1119.9,1097.5,1115.3,1116.15,1127180.0,12492.86
2014-12-29,1118.35,1130.0,1116.25,1122.8,1124.1,841728.0,9456.81
2014-12-30,1120.0,1134.9,1117.2,1132.5,1129.4,984892.0,11084.56
2014-12-31,1135.15,1140.75,1121.2,1132.95,1135.9,1461808.0,16556.85
2015-01-01,1130.0,1131.15,1120.1,1125.9,1124.0,401576.0,4514.65
2015-01-02,1127.3,1176.95,1125.35,1171.05,1171.9,2019816.0,23428.45
2015-01-05,1168.8,1175.0,1150.4,1154.95,1156.4,2219458.0,25728.8
2015-01-06,1148.6,1148.6,1096.1,1098.0,1101.95,2531748.0,28301.0
2015-01-07,1097.5,1114.15,1095.0,1097.65,1099.25,2406880.0,26609.92
2015-01-08,1114.0,1128.5,1110.0,1122.15,1123.35,1675711.0,18746.0
2015-01-09,1127.0,1135.95,1103.4,1110.0,1113.3,1125756.0,12605.7
2015-01-12,1114.35,1135.0,1098.4,1129.15,1128.55,1483952.0,16533.91
2015-01-13,1134.4,1137.3,1113.6,1123.1,1122.2,1460452.0,16482.46
2015-01-14,1128.7,1136.85,1112.6,1120.9,1120.3,1407126.0,15818.0
2015-01-15,1145.05,1210.9,1144.7,1194.0,1202.55,3691695.0,43581.44
2015-01-16,1207.5,1209.0,1191.0,1198.0,1194.55,3113114.0,37270.39
2015-01-19,1198.0,1204.65,1178.15,1181.0,1181.7,964317.0,11440.48
2015-01-20,1185.1,1257.75,1181.05,1250.0,1251.55,4307951.0,53234.86
2015-01-21,1259.0,1297.4,1252.25,1289.05,1287.2,4571279.0,58641.01
2015-01-22,1287.0,1294.85,1272.0,1280.0,1279.65,2899200.0,37107.63
2015-01-23,1288.7,1340.95,1280.2,1281.6,1290.1,4046463.0,52788.17
2015-01-27,1303.9,1320.0,1288.55,1312.1,1315.85,4368011.0,57187.54
2015-01-28,1323.95,1361.85,1300.7,1345.0,1344.6,5446676.0,72718.28
2015-01-29,1338.15,1343.9,1295.4,1310.0,1315.55,5914732.0,77754.22
2015-01-30,1328.4,1333.0,1257.75,1276.0,1262.5,3825989.0,48747.08
2015-02-02,1262.5,1284.5,1243.6,1264.3,1269.3,3229041.0,40708.29
2015-02-03,1262.5,1272.0,1225.9,1233.85,1230.15,2595433.0,32246.75
2015-02-04,1231.05,1252.0,1221.1,1230.0,1232.45,3263264.0,40539.97
2015-02-05,1236.9,1292.0,1208.15,1243.85,1246.45,3349987.0,42169.64
2015-02-06,1245.0,1289.8,1244.3,1282.9,1280.55,2615151.0,33356.22
2015-02-09,1267.0,1279.25,1245.55,1267.65,1271.95,1258970.0,15898.81
2015-02-10,1254.1,1293.0,1232.3,1241.45,1246.15,2521026.0,31735.63
2015-02-11,1248.9,1267.7,1242.25,1249.0,1245.8,1857361.0,23284.72
2015-02-12,1254.95,1260.0,1240.4,1254.95,1253.25,2251920.0,28132.4
2015-02-13,1253.9,1275.0,1243.65,1267.0,1268.65,2844615.0,35806.27
2015-02-16,1282.5,1300.0,1267.0,1288.7,1288.0,2215683.0,28468.02
2015-02-18,1295.0,1335.0,1291.75,1323.35,1328.6,3780032.0,50029.89
2015-02-19,1330.0,1357.35,1323.55,1347.0,1353.45,3724612.0,49959.4
2015-02-20,1350.0,1353.45,1325.0,1330.0,1333.15,1991120.0,26590.65
2015-02-23,1333.15,1338.7,1306.8,1311.0,1311.25,2775485.0,36666.76
2015-02-24,1311.9,1321.95,1296.75,1309.0,1310.4,2512512.0,32860.88
2015-02-25,1311.0,1349.55,1311.0,1341.9,1340.55,2729990.0,36539.9
2015-02-26,1348.0,1374.2,1336.2,1349.65,1345.7,3132313.0,42428.24
2015-02-27,1354.9,1368.75,1335.6,1350.6,1347.4,4151270.0,55946.58
2015-02-28,1361.45,1380.0,1310.15,1341.2,1335.15,2254780.0,30294.91
2015-03-02,1342.1,1370.0,1319.0,1340.0,1339.95,4429084.0,59210.8
2015-03-03,1341.0,1373.0,1341.0,1369.65,1368.05,2482102.0,33727.06
2015-03-04,1390.0,1402.3,1355.5,1372.0,1367.7,3801103.0,52699.9
2015-03-05,1367.7,1402.15,1366.4,1393.0,1394.8,4689288.0,64756.98
2015-03-09,1397.5,1397.5,1351.8,1362.0,1368.35,3448632.0,47101.44
2015-03-10,1365.1,1365.15,1307.15,1318.8,1312.4,5116630.0,67755.98
2015-03-11,1320.8,1338.5,1310.35,1323.25,1322.75,3331122.0,44062.03
2015-03-12,1332.9,1343.45,1316.35,1331.4,1332.85,3304209.0,43848.54
2015-03-13,1351.0,1368.0,1322.0,1328.0,1328.05,4002153.0,53717.61
2015-03-16,1327.0,1327.0,1293.6,1309.5,1305.7,3706369.0,48373.31
2015-03-17,1311.9,1347.65,1307.1,1335.85,1339.45,2149304.0,28578.95
2015-03-18,1340.9,1343.65,1315.0,1325.0,1322.05,2027482.0,26880.65
2015-03-19,1336.0,1354.6,1317.4,1332.0,1327.7,5042473.0,67267.34
2015-03-20,1324.0,1343.85,1308.0,1335.0,1338.45,3871319.0,51640.86
2015-03-23,1332.2,1348.9,1327.5,1345.0,1345.7,1772832.0,23740.84
2015-03-24,1337.55,1386.75,1337.25,1365.0,1358.85,4545753.0,62123.74
2015-03-25,1362.0,1380.95,1342.2,1342.55,1354.55,3628829.0,49653.56
2015-03-26,1339.3,1339.3,1273.0,1298.9,1283.7,6239936.0,80855.72
2015-03-27,1290.65,1299.0,1257.45,1264.0,1262.7,3115046.0,39530.3
2015-03-30,1274.9,1308.9,1271.15,1306.5,1306.2,2242522.0,29046.0
2015-03-31,1314.0,1322.95,1297.75,1316.0,1315.7,2877703.0,37754.12
2015-04-01,1318.95,1341.9,1305.5,1339.95,1337.05,1492126.0,19745.14
2015-04-06,1354.15,1354.15,1303.3,1328.0,1330.6,2076100.0,27441.69
2015-04-07,1332.65,1341.75,1312.55,1329.0,1328.7,1946193.0,25812.49
2015-04-08,1330.25,1335.3,1297.1,1300.0,1299.7,2589418.0,33867.86
2015-04-09,1309.9,1316.55,1286.5,1307.45,1303.05,3333998.0,43344.92
2015-04-10,1304.7,1308.65,1282.95,1289.0,1290.35,2003341.0,25864.9
2015-04-13,1299.9,1312.0,1291.2,1301.85,1305.25,2030711.0,26488.03
2015-04-15,1313.0,1313.5,1279.6,1294.3,1290.45,2830551.0,36585.9
2015-04-16,1294.8,1310.0,1281.1,1304.0,1306.8,3456440.0,44730.18
2015-04-17,1306.7,1315.95,1297.2,1297.2,1306.7,2204849.0,28829.64
2015-04-20,1295.0,1305.75,1256.2,1256.75,1268.65,2966624.0,38180.32
2015-04-21,1266.65,1276.8,1243.3,1258.15,1258.15,2954400.0,37202.02
2015-04-22,1261.1,1285.0,1258.0,1273.2,1277.2,2774253.0,35287.34
2015-04-23,1283.0,1297.65,1267.0,1272.5,1276.05,3429256.0,43794.61
2015-04-24,1271.0,1275.0,1234.1,1251.5,1245.15,1693928.0,21097.84
2015-04-27,1251.9,1255.0,1196.65,1210.6,1211.75,3816253.0,46403.84
2015-04-28,1214.0,1236.4,1188.6,1228.75,1228.25,3962095.0,47718.57
2015-04-29,1225.0,1237.0,1191.1,1197.65,1201.15,4661402.0,56248.34
2015-04-30,1199.3,1200.0,1160.1,1180.0,1170.0,7207702.0,84416.87
2015-05-04,1179.9,1205.75,1173.45,1202.5,1202.2,4151853.0,49595.63
2015-05-05,1197.0,1201.8,1178.1,1178.65,1180.35,2910239.0,34565.77
2015-05-06,1179.95,1179.95,1151.2,1164.0,1163.6,5476440.0,63686.49
2015-05-07,1161.65,1172.85,1147.0,1150.0,1154.25,3674392.0,42662.63
2015-05-08,1167.45,1200.0,1160.6,1188.8,1185.35,3665418.0,43425.9
2015-05-11,1195.0,1230.55,1191.6,1223.0,1226.1,3535741.0,43030.51
2015-05-12,1223.0,1223.0,1184.45,1189.0,1191.35,3890498.0,46454.9
2015-05-13,1195.5,1228.7,1187.85,1220.0,1219.4,2388304.0,28906.41
2015-05-14,1224.4,1224.4,1192.0,1207.0,1209.7,1592211.0,19193.91
2015-05-15,1215.0,1236.45,1205.75,1231.25,1234.3,1926050.0,23639.75
2015-05-18,1234.0,1271.0,1227.0,1268.25,1264.3,1779600.0,22212.35
2015-05-19,1258.0,1264.2,1232.25,1236.05,1240.55,1645261.0,20479.59
2015-05-20,1245.0,1273.4,1242.3,1267.0,1270.05,1538286.0,19377.51
2015-05-21,1266.2,1273.4,1245.25,1255.0,1255.95,1869513.0,23509.03
2015-05-22,1256.4,1292.95,1252.1,1287.0,1288.05,1816951.0,23203.65
2015-05-25,1280.0,1288.0,1250.0,1254.95,1252.65,1035874.0,13099.04
2015-05-26,1252.1,1260.0,1233.45,1244.95,1240.45,1157981.0,14417.72
2015-05-27,1231.0,1245.0,1229.0,1239.4,1239.9,2128114.0,26334.17
2015-05-28,1242.0,1249.3,1206.55,1223.0,1229.25,3185460.0,38957.76
2015-05-29,1229.0,1248.0,1218.75,1234.05,1236.05,8462128.0,104550.69
2015-06-01,1236.1,1255.0,1236.1,1245.0,1247.75,1565269.0,19514.06
2015-06-02,1247.0,1250.1,1197.05,1204.6,1203.1,2840010.0,34408.08
2015-06-03,1202.55,1217.85,1194.0,1203.25,1202.85,1669000.0,20092.85
2015-06-04,1209.2,1225.0,1190.0,1223.95,1216.0,1559731.0,18785.74
2015-06-05,1213.0,1217.0,1193.8,1197.1,1201.35,1562369.0,18832.64
2015-06-08,1202.0,1205.0,1171.0,1177.5,1176.75,1709199.0,20167.06
2015-06-09,1179.5,1196.0,1176.65,1188.2,1188.8,1405906.0,16708.92
2015-06-10,1182.1,1205.0,1182.1,1192.6,1190.55,1909498.0,22783.92
2015-06-11,1198.0,1200.0,1157.95,1161.0,1164.3,2885206.0,33922.02
2015-06-12,1156.0,1194.9,1156.0,1190.05,1190.4,2189916.0,25929.94
2015-06-15,1189.9,1218.0,1183.35,1210.75,1214.55,2625930.0,31696.88
2015-06-16,1210.3,1213.95,1180.25,1205.45,1199.05,1624342.0,19358.67
2015-06-17,1208.0,1217.9,1196.3,1197.75,1200.9,2468727.0,29785.76
2015-06-18,1201.0,1219.6,1200.0,1212.4,1213.3,2158585.0,26147.76
2015-06-19,1222.9,1247.55,1219.0,1237.05,1236.85,3996806.0,49459.14
2015-06-22,1240.0,1274.5,1238.1,1270.0,1271.55,1686424.0,21291.75
2015-06-23,1272.8,1288.7,1260.25,1281.3,1285.2,2574782.0,32819.99
2015-06-24,1283.5,1294.85,1265.7,1277.0,1283.9,3659720.0,46887.05
2015-06-25,1278.2,1314.0,1273.75,1311.55,1308.85,3542983.0,46222.98
2015-06-26,1305.0,1310.0,1275.2,1289.5,1287.85,2363289.0,30405.64
2015-06-29,1265.5,1293.4,1260.0,1290.0,1285.5,1926719.0,24570.29
2015-06-30,1289.9,1302.85,1278.25,1298.0,1296.45,3046510.0,39402.71
2015-07-01,1296.0,1302.95,1287.75,1293.55,1292.7,2734800.0,35386.16
